city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
Alamogordo,"New Mexico",32.870046,-105.948967,1,place,,,,,Alamogordo,NM,"Otero County",88310,US,"TIGER/Line® dataset from the US Census Bureau"
Albuquerque,"New Mexico",35.199592,-106.644831,1,place,,,,,Albuquerque,NM,"Bernalillo County",87101,US,"TIGER/Line® dataset from the US Census Bureau"
Artesia,"New Mexico",32.771797,-104.219669,1,place,,,,,Artesia,NM,"Eddy County",88210,US,"TIGER/Line® dataset from the US Census Bureau"
Carlsbad,"New Mexico",32.416897,-104.46539,1,place,,,,,Carlsbad,NM,"Eddy County",88220,US,"TIGER/Line® dataset from the US Census Bureau"
Aztec,"New Mexico",36.842198,-107.818288,1,place,,,,,Aztec,NM,"San Juan County",87410,US,"TIGER/Line® dataset from the US Census Bureau"
Farmington,"New Mexico",36.740321,-108.178691,1,place,,,,,Farmington,NM,"San Juan County",87401,US,"TIGER/Line® dataset from the US Census Bureau"
Belen,"New Mexico",34.651051,-106.695247,1,place,,,,,Belen,NM,"Valencia County",87002,US,"TIGER/Line® dataset from the US Census Bureau"
Cerrillos,"New Mexico",35.43782,-106.12252,1,place,,,,,Cerrillos,NM,"Santa Fe County",87010,US,"TIGER/Line® dataset from the US Census Bureau"
"Santa Fe","New Mexico",35.697473,-105.982146,1,place,,,,,"Santa Fe",NM,"Santa Fe County",87501,US,"TIGER/Line® dataset from the US Census Bureau"
Clayton,"New Mexico",36.451155,-103.162935,1,place,,,,,Clayton,NM,"Union County",88415,US,"TIGER/Line® dataset from the US Census Bureau"
Clovis,"New Mexico",34.497241,-103.294978,1,place,,,,,Clovis,NM,"Curry County",88101,US,"TIGER/Line® dataset from the US Census Bureau"
Deming,"New Mexico",32.079682,-107.683073,1,place,,,,,Deming,NM,"Luna County",88030,US,"TIGER/Line® dataset from the US Census Bureau"
Elida,"New Mexico",33.985296,-103.494855,1,place,,,,,Elida,NM,"Roosevelt County",88116,US,"TIGER/Line® dataset from the US Census Bureau"
Kenna,"New Mexico",33.883159,-103.709525,1,place,,,,,Kenna,NM,"Roosevelt County",88122,US,"TIGER/Line® dataset from the US Census Bureau"
Portales,"New Mexico",34.076964,-103.352595,1,place,,,,,Portales,NM,"Roosevelt County",88130,US,"TIGER/Line® dataset from the US Census Bureau"
Estancia,"New Mexico",34.752146,-106.16066,1,place,,,,,Estancia,NM,"Torrance County",87016,US,"TIGER/Line® dataset from the US Census Bureau"
Gallup,"New Mexico",35.534983,-108.737949,1,place,,,,,Gallup,NM,"McKinley County",87301,US,"TIGER/Line® dataset from the US Census Bureau"
Hagerman,"New Mexico",33.101546,-104.356588,1,place,,,,,Hagerman,NM,"Chaves County",88232,US,"TIGER/Line® dataset from the US Census Bureau"
Roswell,"New Mexico",33.637061,-104.377926,1,place,,,,,Roswell,NM,"Chaves County",88201,US,"TIGER/Line® dataset from the US Census Bureau"
Hillsboro,"New Mexico",32.92029,-107.569856,1,place,,,,,Hillsboro,NM,"Sierra County",88042,US,"TIGER/Line® dataset from the US Census Bureau"
"Hot Springs","New Mexico",33.207295,-107.210587,0.53,place,,,,,"Hot Springs Landing",NM,"Sierra County",87935,US,"TIGER/Line® dataset from the US Census Bureau"
"Lake Valley","New Mexico",36.09168,-108.157292,0.8,place,,,,,"Lake Valley",NM,"San Juan County",87313,US,"TIGER/Line® dataset from the US Census Bureau"
Hobbs,"New Mexico",32.703708,-103.485112,1,place,,,,,Hobbs,NM,"Lea County",88240,US,"TIGER/Line® dataset from the US Census Bureau"
"Las Cruces","New Mexico",32.290052,-106.753893,1,place,,,,,"Las Cruces",NM,"Doña Ana County",88001,US,"TIGER/Line® dataset from the US Census Bureau"
"Las Vegas","New Mexico",35.551539,-104.985643,1,place,,,,,"Las Vegas",NM,"San Miguel County",87701,US,"TIGER/Line® dataset from the US Census Bureau"
Lordsburg,"New Mexico",32.315951,-108.723047,1,place,,,,,Lordsburg,NM,"Hidalgo County",88045,US,"TIGER/Line® dataset from the US Census Bureau"
Magdalena,"New Mexico",34.111424,-107.240895,1,place,,,,,Magdalena,NM,"Socorro County",87825,US,"TIGER/Line® dataset from the US Census Bureau"
"San Marcial","New Mexico",0,0,0,,,,,,,,,,,
Socorro,"New Mexico",34.0584,-106.89142,1,place,,,,,Socorro,NM,"Socorro County",87801,US,"TIGER/Line® dataset from the US Census Bureau"
"Pinos Altos","New Mexico",32.861433,-108.21919,1,place,,,,,"Pinos Altos",NM,"Grant County",88053,US,"TIGER/Line® dataset from the US Census Bureau"
"Santa Rita","New Mexico",0,0,0,,,,,,,,,,,
"Silver City","New Mexico",32.853738,-108.330764,1,place,,,,,"Silver City",NM,"Grant County",88061,US,"TIGER/Line® dataset from the US Census Bureau"
Raton,"New Mexico",36.90336,-104.43915,1,place,,,,,Raton,NM,"Colfax County",87740,US,"TIGER/Line® dataset from the US Census Bureau"
Springer,"New Mexico",36.36114,-104.59527,1,place,,,,,Springer,NM,"Colfax County",87747,US,"TIGER/Line® dataset from the US Census Bureau"
"Santa Rosa","New Mexico",34.852639,-104.589897,1,place,,,,,"Santa Rosa",NM,"Guadalupe County",88435,US,"TIGER/Line® dataset from the US Census Bureau"
Vaughn,"New Mexico",34.600841,-105.205826,1,place,,,,,Vaughn,NM,"Guadalupe County",88353,US,"TIGER/Line® dataset from the US Census Bureau"
Taos,"New Mexico",36.429239,-105.554532,1,place,,,,,Taos,NM,"Taos County",87571,US,"TIGER/Line® dataset from the US Census Bureau"
Tucumcari,"New Mexico",35.114202,-103.615509,1,place,,,,,Tucumcari,NM,"Quay County",88401,US,"TIGER/Line® dataset from the US Census Bureau"
"Wagon Mound","New Mexico",36.005998,-104.707404,1,place,,,,,"Wagon Mound",NM,"Mora County",87752,US,"TIGER/Line® dataset from the US Census Bureau"
Adams,"New York",43.80923,-76.02409,1,place,,,,,Adams,NY,"Jefferson County",13605,US,"TIGER/Line® dataset from the US Census Bureau"
"Alexandria Bay","New York",44.33588,-75.91773,1,place,,,,,"Alexandria Bay",NY,"Jefferson County",13607,US,"TIGER/Line® dataset from the US Census Bureau"
Antwerp,"New York",44.19923,-75.60688,1,place,,,,,Antwerp,NY,"Jefferson County",13608,US,"TIGER/Line® dataset from the US Census Bureau"
"Black River","New York",43.98871,-75.766746,1,place,,,,,"Black River",NY,"Jefferson County",13612,US,"TIGER/Line® dataset from the US Census Bureau"
Brownville,"New York",44.007,-75.98409,1,place,,,,,Brownville,NY,"Jefferson County",13615,US,"TIGER/Line® dataset from the US Census Bureau"
"Cape Vincent","New York",44.126469,-76.272585,1,place,,,,,"Cape Vincent",NY,"Jefferson County",13618,US,"TIGER/Line® dataset from the US Census Bureau"
Carthage,"New York",43.97812,-75.60936,1,place,,,,,Carthage,NY,"Jefferson County",13619,US,"TIGER/Line® dataset from the US Census Bureau"
Clayton,"New York",44.144238,-76.062002,1,place,,,,,Clayton,NY,"Jefferson County",13624,US,"TIGER/Line® dataset from the US Census Bureau"
Clayton,"New York",44.144238,-76.062002,1,place,,,,,Clayton,NY,"Jefferson County",13624,US,"TIGER/Line® dataset from the US Census Bureau"
Dexter,"New York",44.014261,-76.08002,1,place,,,,,Dexter,NY,"Jefferson County",13634,US,"TIGER/Line® dataset from the US Census Bureau"
"Evans Mills","New York",44.0981,-75.817097,1,place,,,,,"Evans Mills",NY,"Jefferson County",13637,US,"TIGER/Line® dataset from the US Census Bureau"
Mannsville,"New York",43.727352,-76.090851,1,place,,,,,Mannsville,NY,"Jefferson County",13661,US,"TIGER/Line® dataset from the US Census Bureau"
Philadelphia,"New York",44.116323,-75.719346,1,place,,,,,Philadelphia,NY,"Jefferson County",13673,US,"TIGER/Line® dataset from the US Census Bureau"
