city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
Lockney,Texas,34.123072,-101.443848,1,place,,,,,Lockney,TX,"Floyd County",79241,US,"TIGER/Line® dataset from the US Census Bureau"
Forney,Texas,32.723931,-96.450819,1,place,,,,,Forney,TX,"Kaufman County",75126,US,"TIGER/Line® dataset from the US Census Bureau"
Kaufman,Texas,32.581306,-96.265477,1,place,,,,,Kaufman,TX,"Kaufman County",75142,US,"TIGER/Line® dataset from the US Census Bureau"
Kemp,Texas,32.44264,-96.229977,0.9,place,,,,,Kemp,TX,"Kaufman County",75143,US,"TIGER/Line® dataset from the US Census Bureau"
Mabank,Texas,32.463647,-96.135356,1,place,,,,,Mabank,TX,"Kaufman County",75147,US,"TIGER/Line® dataset from the US Census Bureau"
Terrell,Texas,32.758408,-96.301323,1,place,,,,,Terrell,TX,"Kaufman County",75160,US,"TIGER/Line® dataset from the US Census Bureau"
"Fort Stockton",Texas,30.886367,-102.890491,1,place,,,,,"Fort Stockton",TX,"Pecos County",79735,US,"TIGER/Line® dataset from the US Census Bureau"
Fredericksburg,Texas,30.313385,-98.8936,1,place,,,,,Fredericksburg,TX,"Gillespie County",78624,US,"TIGER/Line® dataset from the US Census Bureau"
Freeport,Texas,29.021218,-95.278251,1,place,,,,,Freeport,TX,"Brazoria County",77541,US,"TIGER/Line® dataset from the US Census Bureau"
"Lake Jackson",Texas,29.03386,-95.43439,1,place,,,,,"Lake Jackson",TX,"Brazoria County",77566,US,"TIGER/Line® dataset from the US Census Bureau"
"West Columbia",Texas,29.122892,-95.684009,1,place,,,,,"West Columbia",TX,"Brazoria County",77486,US,"TIGER/Line® dataset from the US Census Bureau"
Freer,Texas,27.899181,-98.614928,1,place,,,,,Freer,TX,"Duval County",78357,US,"TIGER/Line® dataset from the US Census Bureau"
Frisco,Texas,33.146336,-96.856347,1,place,,,,,Frisco,TX,"Collin County",75034,US,"TIGER/Line® dataset from the US Census Bureau"
Gainesville,Texas,33.654698,-97.158295,1,place,,,,,Gainesville,TX,"Cooke County",76240,US,"TIGER/Line® dataset from the US Census Bureau"
Galveston,Texas,29.310535,-94.775768,1,place,,,,,Galveston,TX,"Galveston County",77550,US,"TIGER/Line® dataset from the US Census Bureau"
"Texas City",Texas,29.376057,-94.921474,1,place,,,,,"Texas City",TX,"Galveston County",77590,US,"TIGER/Line® dataset from the US Census Bureau"
Gatesville,Texas,31.417739,-97.833033,1,place,,,,,Gatesville,TX,"Coryell County",76528,US,"TIGER/Line® dataset from the US Census Bureau"
Georgetown,Texas,30.668034,-97.574706,1,place,,,,,Georgetown,TX,"Williamson County",78626,US,"TIGER/Line® dataset from the US Census Bureau"
Granger,Texas,30.71136,-97.418471,1,place,,,,,Granger,TX,"Williamson County",76530,US,"TIGER/Line® dataset from the US Census Bureau"
Hutto,Texas,30.551885,-97.554189,1,place,,,,,Hutto,TX,"Williamson County",78634,US,"TIGER/Line® dataset from the US Census Bureau"
"Round Rock",Texas,30.501747,-97.647206,1,place,,,,,"Round Rock",TX,"Williamson County",78664,US,"TIGER/Line® dataset from the US Census Bureau"
Taylor,Texas,30.581504,-97.393787,1,place,,,,,Taylor,TX,"Williamson County",76574,US,"TIGER/Line® dataset from the US Census Bureau"
Giddings,Texas,30.249357,-96.931852,1,place,,,,,Giddings,TX,"Lee County",78942,US,"TIGER/Line® dataset from the US Census Bureau"
Gilmer,Texas,32.791087,-94.999833,1,place,,,,,Gilmer,TX,"Upshur County",75644,US,"TIGER/Line® dataset from the US Census Bureau"
Gladewater,Texas,32.477189,-94.9327,1,place,,,,,Gladewater,TX,"Gregg County",75647,US,"TIGER/Line® dataset from the US Census Bureau"
Greggton,Texas,32.498203,-94.793269,0.9,place,,,,,Greggton,TX,"Gregg County",75604,US,"TIGER/Line® dataset from the US Census Bureau"
Kilgore,Texas,32.410306,-94.793392,1,place,,,,,Kilgore,TX,"Gregg County",75662,US,"TIGER/Line® dataset from the US Census Bureau"
Longview,Texas,32.517846,-94.730285,1,place,,,,,Longview,TX,"Gregg County",75601,US,"TIGER/Line® dataset from the US Census Bureau"
Goldthwaite,Texas,31.447214,-98.458794,1,place,,,,,Goldthwaite,TX,"Mills County",76844,US,"TIGER/Line® dataset from the US Census Bureau"
Goliad,Texas,28.664092,-97.460854,1,place,,,,,Goliad,TX,"Goliad County",77963,US,"TIGER/Line® dataset from the US Census Bureau"
Gonzales,Texas,29.543029,-97.543969,1,place,,,,,Gonzales,TX,"Gonzales County",78629,US,"TIGER/Line® dataset from the US Census Bureau"
Waelder,Texas,29.693474,-97.299947,1,place,,,,,Waelder,TX,"Gonzales County",78959,US,"TIGER/Line® dataset from the US Census Bureau"
Graham,Texas,33.092674,-98.64403,1,place,,,,,Graham,TX,"Young County",76450,US,"TIGER/Line® dataset from the US Census Bureau"
Newcastle,Texas,33.1934,-98.742126,1,place,,,,,Newcastle,TX,"Young County",76372,US,"TIGER/Line® dataset from the US Census Bureau"
Olney,Texas,33.361214,-98.779466,1,place,,,,,Olney,TX,"Young County",76374,US,"TIGER/Line® dataset from the US Census Bureau"
Granbury,Texas,32.435405,-97.844867,1,place,,,,,Granbury,TX,"Hood County",76048,US,"TIGER/Line® dataset from the US Census Bureau"
Groesbeck,Texas,31.473823,-96.543147,1,place,,,,,Groesbeck,TX,"Limestone County",76642,US,"TIGER/Line® dataset from the US Census Bureau"
Kosse,Texas,31.312973,-96.629121,1,place,,,,,Kosse,TX,"Limestone County",76653,US,"TIGER/Line® dataset from the US Census Bureau"
Mexia,Texas,31.674789,-96.52153,1,place,,,,,Mexia,TX,"Limestone County",76667,US,"TIGER/Line® dataset from the US Census Bureau"
Mexia,Texas,31.674789,-96.52153,1,place,,,,,Mexia,TX,"Limestone County",76667,US,"TIGER/Line® dataset from the US Census Bureau"
Groveton,Texas,31.062102,-95.142669,1,place,,,,,Groveton,TX,"Trinity County",75845,US,"TIGER/Line® dataset from the US Census Bureau"
